batch_id,machine_id,shift,operator_experience_years,melt_temperature_c,mold_temperature_c,injection_pressure_bar,injection_speed_mm_s,screw_speed_rpm,back_pressure_bar,hold_pressure_bar,hold_time_s,cooling_time_s,cycle_time_s,material_moisture_pct,ambient_humidity_pct,part_weight_g,defect,defect_type
B100073,M1,Evening,2.4,245.54,37.49,117.07,48.37,112.2,17.54,92.98,3.65,12.96,21.86,0.012,39.27,51.156,1,burn_mark
B100074,M1,Night,2.5,218.59,50.37,116.62,46.79,87.0,15.49,65.0,6.76,21.29,34.86,0.1244,53.38,49.79,1,burn_mark
B100075,M2,Night,10.1,248.51,63.73,134.31,85.44,114.1,9.1,47.75,5.95,12.88,25.35,0.0678,60.62,49.851,0,none
B100076,M2,Day,8.0,248.49,56.97,106.67,37.0,124.9,5.52,56.84,5.27,18.66,31.88,0.1043,51.42,49.713,0,none
B100077,M3,Evening,9.4,223.26,70.61,80.75,90.35,118.7,14.16,57.73,5.66,11.3,23.07,0.005,50.65,48.417,0,none
B100078,M3,Evening,0.0,209.79,62.51,95.93,64.33,135.3,13.6,59.42,6.56,15.03,28.18,0.0745,52.13,48.538,1,burn_mark
B100079,M4,Day,1.1,234.28,60.24,104.58,74.79,175.3,12.93,59.84,8.97,10.34,24.96,0.1424,31.3,49.012,1,burn_mark
B100080,M3,Day,9.7,246.22,73.83,110.16,73.02,77.2,12.48,69.72,6.41,23.22,37.34,0.0475,51.46,49.411,0,none
B100081,M2,Day,0.0,250.91,54.03,122.81,69.25,107.3,11.01,72.97,6.72,12.53,25.25,0.0648,57.32,49.977,1,burn_mark
B100082,M4,Evening,11.9,226.29,55.63,103.8,84.93,158.5,10.09,72.84,5.79,8.26,19.95,0.0471,49.54,49.504,0,none
B100083,M1,Night,0.0,252.52,54.89,101.83,43.76,106.9,19.56,61.24,8.35,7.87,22.76,0.0082,61.24,49.535,1,burn_mark
B100084,M1,Night,10.4,212.72,70.44,106.06,57.65,139.7,10.45,81.93,3.3,15.57,24.23,0.029,61.57,49.704,1,burn_mark
B100085,M1,Day,3.4,231.32,55.03,103.27,47.21,135.8,12.9,76.41,2.89,13.71,22.1,0.0453,44.96,49.922,0,none
B100086,M4,Day,11.2,230.83,48.52,111.68,34.56,150.9,13.84,88.98,5.73,19.24,31.51,0.0111,54.42,49.987,0,none
B100087,M2,Evening,19.8,246.52,60.88,111.04,50.08,167.8,16.83,80.16,6.49,14.82,28.05,0.0661,50.43,49.928,0,none
B100088,M1,Evening,0.0,247.98,46.84,130.34,88.09,128.3,10.59,65.81,1.64,21.83,30.06,0.1132,29.71,50.342,1,burn_mark
B100089,M3,Night,9.8,244.54,60.33,105.16,57.4,76.4,17.91,85.67,5.49,14.07,25.49,0.0208,48.13,50.086,1,burn_mark
B100090,M1,Night,0.0,221.49,59.14,114.64,89.75,102.5,11.68,73.28,5.23,21.13,32.63,0.0925,39.69,49.342,0,none
B100091,M3,Night,8.7,243.63,53.11,111.82,91.29,174.7,13.35,79.58,6.62,11.24,24.81,0.0213,51.34,49.924,0,none
B100092,M2,Night,6.2,240.09,60.66,132.13,104.93,84.6,20.57,78.65,6.14,8.48,19.53,0.0077,56.83,50.518,1,flash
B100093,M2,Night,7.5,218.29,40.12,117.69,88.58,132.4,10.12,68.51,2.79,11.88,20.67,0.1549,47.82,49.351,1,burn_mark
B100094,M2,Evening,3.4,214.33,56.63,135.76,95.37,57.1,16.88,71.24,3.88,10.36,17.32,0.0266,41.0,49.635,0,none
B100095,M3,Day,10.1,245.38,50.37,102.71,64.88,86.2,18.02,68.42,4.29,9.8,20.83,0.0603,52.34,49.598,0,none
B100096,M2,Day,1.2,233.2,83.62,119.26,63.42,142.2,15.24,59.76,6.61,18.07,29.89,0.007,74.44,49.43,1,burn_mark
B100097,M1,Day,12.0,222.15,56.56,111.36,64.42,120.9,13.53,44.26,6.06,14.68,25.98,0.005,28.28,49.039,1,burn_mark
B100098,M1,Day,5.4,232.92,49.04,101.61,60.0,110.6,22.5,61.67,4.57,16.71,27.16,0.0148,52.33,49.251,0,none
B100099,M5,Day,1.4,238.64,41.22,118.99,62.24,99.6,13.94,72.39,5.72,18.64,30.97,0.0736,44.56,49.764,1,burn_mark
B100100,M5,Night,13.4,234.17,68.05,145.99,71.28,70.1,14.82,83.03,3.91,7.57,19.88,0.069,45.74,50.773,1,short_shot
B100101,M3,Day,6.7,219.48,51.5,107.21,53.01,137.3,12.65,79.55,8.57,18.85,31.87,0.0584,48.95,49.531,1,burn_mark
B100102,M2,Night,14.6,253.86,47.09,118.09,39.34,112.9,14.6,66.64,6.36,9.97,21.49,0.028,46.56,50.622,1,burn_mark
B100103,M5,Night,11.9,245.04,58.36,100.32,65.45,82.0,17.86,61.84,6.68,13.12,26.02,0.038,56.02,49.036,0,none
B100104,M4,Evening,3.8,231.65,61.5,98.11,49.61,120.8,12.9,67.84,7.57,6.54,19.38,0.0234,47.58,49.07,1,warpage
B100105,M4,Evening,6.7,232.05,61.34,108.19,51.16,134.5,5.57,58.3,7.02,19.27,33.13,0.1047,28.38,49.325,0,none
B100106,M2,Day,7.5,238.59,55.2,113.25,57.86,115.0,16.05,44.62,5.55,7.55,18.93,0.0262,62.8,49.563,0,none
B100107,M2,Evening,13.1,223.7,56.59,113.92,54.42,122.9,9.69,51.46,5.22,10.0,22.11,0.0066,61.29,49.588,1,burn_mark
B100108,M1,Day,8.8,238.23,57.32,116.61,76.65,121.0,16.97,86.5,7.43,10.36,23.55,0.0539,43.93,50.202,1,burn_mark
B100109,M5,Night,7.7,221.69,58.36,95.28,57.5,102.3,13.99,92.29,5.54,15.36,27.44,0.0099,50.5,49.78,1,short_shot
B100110,M2,Day,6.2,234.29,59.25,110.61,77.41,121.4,17.77,79.05,4.38,15.2,24.62,0.005,62.18,50.121,0,none
B100111,M1,Day,6.8,223.31,65.94,127.53,63.09,138.4,10.21,69.3,8.45,20.06,36.45,0.005,60.33,50.061,0,none
B100112,M2,Evening,12.2,223.82,55.56,99.63,58.67,145.9,11.86,53.28,4.1,15.48,23.87,0.0381,63.57,48.619,1,burn_mark
B100113,M3,Evening,7.0,251.46,46.83,114.67,62.37,139.8,12.64,68.07,2.9,20.83,29.02,0.0563,53.74,49.998,1,burn_mark
B100114,M1,Evening,5.4,235.59,53.56,124.39,40.63,103.1,8.07,77.34,6.99,17.9,29.47,0.005,57.7,50.005,0,none
B100115,M5,Evening,4.7,237.07,62.54,108.27,65.07,135.9,18.45,79.96,4.4,11.27,22.48,0.0366,64.09,49.966,0,none
B100116,M4,Day,4.8,214.89,37.13,125.12,72.74,131.6,7.5,78.27,6.15,12.66,25.36,0.0079,46.57,49.718,0,none
B100117,M4,Evening,1.4,229.03,37.19,97.18,74.86,102.3,18.39,84.51,8.23,23.55,36.56,0.0426,54.41,49.407,0,none
B100118,M2,Day,4.0,239.61,64.18,133.33,39.72,108.4,15.7,93.32,3.44,22.14,32.57,0.1413,28.53,51.108,0,none
B100119,M3,Day,13.0,236.94,70.2,125.49,37.22,137.0,13.2,65.14,5.44,20.12,30.86,0.0436,34.2,50.19,1,warpage
B100120,M3,Day,6.2,213.46,42.35,120.83,51.95,154.4,15.38,103.66,7.73,20.78,34.89,0.0925,55.0,50.535,0,none
B100121,M3,Day,9.8,237.07,56.0,136.87,80.77,74.7,15.27,45.76,6.52,18.33,31.47,0.0503,56.53,49.801,0,none
B100122,M1,Day,0.0,238.67,51.0,115.06,63.31,161.0,12.4,60.66,5.23,17.68,28.66,0.1309,46.13,49.466,0,none
B100123,M2,Evening,9.3,247.84,52.39,110.73,48.38,149.1,15.19,72.4,9.08,16.25,32.24,0.0744,43.94,49.694,0,none
B100124,M1,Day,6.4,228.45,58.06,140.59,38.21,125.0,16.92,76.59,5.36,24.49,35.71,0.0568,46.44,50.994,0,none
B100125,M2,Day,5.1,212.58,42.07,147.61,49.74,114.0,10.22,67.82,6.1,13.68,26.11,0.0389,51.92,50.129,0,none
B100126,M2,Evening,7.7,225.03,43.93,109.6,48.73,129.8,15.38,64.05,7.97,17.2,30.9,0.0331,26.86,50.16,1,burn_mark
B100127,M1,Day,5.0,224.03,51.99,118.29,74.03,104.0,3.49,96.43,6.97,7.46,18.56,0.1492,54.66,50.623,1,burn_mark
B100128,M1,Evening,0.0,242.37,53.55,135.68,75.19,115.6,6.28,63.48,7.48,8.85,22.21,0.0597,50.32,49.742,1,warpage
B100129,M3,Night,10.7,207.83,43.74,118.83,44.25,83.1,16.26,57.77,4.15,25.08,34.35,0.1613,52.47,49.69,1,burn_mark
B100130,M1,Evening,8.0,230.52,62.9,128.92,71.3,76.5,12.33,90.29,7.34,19.08,33.82,0.0184,48.76,50.892,0,none
B100131,M5,Night,5.7,249.26,50.82,131.71,69.76,178.3,10.59,80.19,5.75,14.94,25.33,0.1905,36.17,50.466,1,burn_mark
B100132,M3,Day,3.1,235.07,50.78,111.57,42.3,121.6,13.79,83.14,4.38,16.39,28.0,0.0148,39.02,50.311,0,none
B100133,M2,Day,1.1,243.96,57.83,126.29,58.74,125.1,12.42,72.35,5.83,9.21,20.86,0.0998,65.23,50.339,0,none
B100134,M3,Evening,7.9,218.58,53.71,119.91,65.11,119.2,10.05,53.49,5.79,13.86,26.05,0.0139,43.57,49.608,0,none
B100135,M1,Night,13.5,218.98,63.37,101.75,62.45,99.3,7.44,71.02,8.3,8.71,21.63,0.006,58.08,49.052,1,burn_mark
B100136,M5,Night,7.8,249.37,45.67,105.16,34.34,112.3,6.13,51.84,6.07,14.52,26.29,0.0283,39.18,50.018,1,burn_mark
B100137,M2,Day,1.5,236.01,41.03,110.21,61.97,122.3,16.96,72.91,4.33,19.4,29.07,0.0306,49.85,49.71,0,none
B100138,M4,Night,7.9,236.03,51.9,133.93,69.54,115.1,12.31,77.84,3.98,18.27,30.35,0.0867,45.59,50.384,0,none
B100139,M1,Day,6.8,223.82,55.6,134.42,83.69,101.2,17.88,82.91,5.43,23.95,34.69,0.0231,47.13,50.513,0,none
B100140,M2,Day,10.5,236.01,42.59,131.25,49.97,132.0,12.27,68.89,3.48,17.47,28.11,0.0424,46.6,50.746,0,none
B100141,M2,Day,9.4,223.54,41.12,126.6,51.82,124.7,15.42,78.98,4.43,4.0,15.59,0.0172,64.44,49.47,1,warpage
B100142,M5,Night,0.0,246.87,56.82,126.19,56.87,129.8,13.5,59.15,5.13,25.75,38.03,0.0192,69.27,49.162,0,none
B100143,M3,Day,9.2,262.28,47.42,124.16,64.37,137.6,14.18,81.6,4.87,11.8,22.07,0.1866,52.38,50.842,0,none
B100144,M2,Night,3.0,239.84,40.47,126.11,61.46,115.7,14.37,78.09,6.59,16.81,31.21,0.0369,45.87,50.172,0,none
B100145,M2,Evening,1.3,228.65,64.65,127.13,69.06,115.8,12.22,60.4,4.39,16.51,28.91,0.045,36.71,49.374,0,none
B100146,M2,Evening,6.2,209.66,48.68,98.93,43.12,157.1,9.08,76.36,1.8,17.2,25.37,0.0395,36.02,49.153,1,burn_mark
B100147,M3,Evening,8.6,218.16,66.5,108.15,65.95,96.4,17.06,83.08,2.97,16.24,24.75,0.0267,64.49,50.613,1,burn_mark
B100148,M2,Night,0.4,250.55,55.28,104.57,48.87,73.2,20.37,70.94,5.47,16.33,26.94,0.0439,35.31,49.435,0,none
B100149,M1,Day,9.8,224.71,57.95,136.61,57.85,133.9,20.64,60.13,4.62,9.39,20.48,0.1108,45.6,50.478,0,none
B100150,M4,Day,10.1,231.29,52.89,144.81,85.62,104.3,11.79,72.13,3.64,28.93,38.64,0.0621,51.55,50.209,0,none
B100151,M5,Evening,7.2,241.55,28.45,87.46,39.03,93.1,11.07,76.63,8.44,19.26,33.88,0.0568,25.0,48.956,0,none
B100152,M1,Day,3.5,249.82,43.63,143.47,55.81,142.1,11.78,60.04,6.74,16.26,27.65,0.005,37.49,50.555,1,burn_mark
B100153,M3,Day,3.1,233.0,53.74,121.3,40.88,116.4,13.3,57.91,5.41,25.21,36.65,0.154,36.62,49.461,0,none
B100154,M1,Day,11.1,230.95,58.65,135.19,62.3,88.4,13.79,76.26,5.85,10.64,23.63,0.01,43.34,49.948,1,warpage
B100155,M3,Day,1.0,235.72,37.1,127.6,75.72,168.4,10.01,79.88,5.1,20.34,32.26,0.1428,52.59,50.025,1,burn_mark
B100156,M2,Day,11.3,228.72,54.46,141.61,62.54,79.7,8.08,95.8,3.62,13.22,22.43,0.018,60.28,50.663,0,none
B100157,M3,Day,6.3,229.26,43.78,123.15,58.25,117.8,14.2,77.99,7.05,18.01,30.95,0.0167,43.36,50.134,1,burn_mark
B100158,M4,Night,6.6,239.12,57.35,99.55,79.93,72.8,3.0,55.49,6.78,18.12,29.43,0.0712,45.38,49.018,0,none
B100159,M4,Day,0.2,236.85,54.81,118.41,64.96,126.8,13.6,94.48,2.53,4.32,12.19,0.016,48.8,50.144,0,none
B100160,M1,Night,6.4,256.32,62.44,127.73,72.29,104.0,10.22,82.66,5.84,8.84,20.34,0.0147,41.94,50.902,0,none
B100161,M5,Night,9.5,239.39,65.67,116.76,70.73,140.5,17.12,45.94,6.01,23.93,36.57,0.1183,54.18,49.148,0,none
B100162,M1,Day,1.7,246.51,59.59,129.87,16.86,119.6,18.19,57.64,5.02,14.74,25.05,0.005,54.49,50.599,0,none
B100163,M1,Evening,9.0,224.29,63.6,119.01,58.85,153.8,18.28,64.1,8.65,26.01,39.62,0.0735,25.0,48.944,0,none
B100164,M3,Evening,7.4,240.25,51.5,111.07,43.83,109.3,12.61,80.06,8.48,22.55,37.79,0.0094,56.39,50.202,0,none
B100165,M2,Evening,4.4,227.77,83.23,103.71,47.56,79.9,9.46,41.45,4.93,14.9,25.41,0.0827,51.27,49.744,0,none
B100166,M4,Day,10.4,238.95,42.81,114.12,82.12,125.9,10.74,68.57,5.17,14.46,24.78,0.008,52.59,49.911,0,none
B100167,M4,Day,0.0,241.89,49.72,123.07,54.38,113.7,15.15,79.37,4.99,24.24,36.04,0.0847,61.8,50.379,0,none
B100168,M2,Day,8.4,235.5,64.01,90.61,88.39,74.5,7.42,35.99,4.58,26.52,37.56,0.0149,32.14,47.756,0,none
B100169,M5,Evening,13.5,259.07,62.53,108.3,38.88,93.6,19.57,78.96,4.12,14.57,24.48,0.0334,37.45,50.972,0,none
B100170,M2,Night,12.8,249.28,59.87,90.05,43.74,101.6,12.68,80.4,6.26,23.69,35.6,0.0168,49.3,49.63,1,short_shot
B100171,M3,Evening,8.6,246.77,61.75,110.74,71.44,158.9,16.0,59.84,8.44,21.15,35.97,0.2954,26.79,49.346,1,burn_mark
B100172,M2,Evening,5.8,242.64,34.16,137.96,54.88,137.7,6.87,56.16,7.83,22.01,36.38,0.005,47.88,50.201,0,none
B100173,M5,Night,4.5,252.63,70.89,102.21,64.61,111.3,10.3,59.65,6.68,16.51,29.4,0.0247,58.46,50.203,0,none
B100174,M1,Evening,5.8,220.63,52.96,130.55,58.32,131.8,6.38,37.93,1.89,12.64,20.65,0.0781,53.97,49.435,0,none
B100175,M1,Day,9.2,248.7,67.46,162.73,57.86,69.0,18.08,66.09,2.7,10.73,18.82,0.011,50.79,51.588,1,short_shot
B100176,M2,Night,3.8,225.09,34.66,141.8,55.44,105.9,13.36,72.64,7.1,9.48,22.03,0.0615,47.67,50.533,1,burn_mark
B100177,M5,Day,10.0,229.36,57.57,122.0,62.69,130.0,16.29,55.37,7.93,25.55,39.31,0.0602,45.72,49.633,0,none
B100178,M5,Day,15.5,240.61,49.36,132.88,69.62,124.1,14.25,81.66,6.33,16.05,27.42,0.005,45.15,50.459,0,none
B100179,M4,Evening,6.8,247.33,60.72,99.45,84.22,106.5,15.87,71.23,5.04,10.28,20.24,0.0263,52.29,49.849,0,none
B100180,M5,Night,1.6,223.46,58.17,96.4,56.96,119.0,12.65,73.12,7.53,21.01,34.45,0.005,34.49,49.227,0,none
B100181,M5,Day,1.6,229.87,58.66,120.43,54.1,128.5,13.19,65.18,6.63,13.61,27.23,0.2369,64.63,49.406,1,burn_mark
B100182,M3,Evening,10.1,235.98,44.41,125.98,52.16,119.8,13.63,78.92,7.21,12.75,23.88,0.0569,42.62,50.589,0,none
B100183,M2,Day,6.8,233.14,54.43,136.42,82.05,141.5,15.62,85.49,2.72,26.34,34.66,0.1178,55.58,50.514,0,none
B100184,M4,Day,10.5,243.54,53.2,111.47,70.35,128.0,15.73,65.11,6.02,9.35,21.63,0.0546,50.8,49.804,0,none
B100185,M3,Day,4.9,265.0,59.95,122.9,31.51,132.8,25.25,79.13,8.16,17.18,32.41,0.0957,38.46,50.888,0,none
B100186,M2,Evening,10.3,239.19,64.89,122.39,30.85,162.8,20.73,79.26,6.29,13.05,27.14,0.0407,62.93,50.422,0,none
B100187,M1,Night,6.4,227.65,56.5,118.03,47.55,140.7,6.88,75.01,6.92,12.25,24.91,0.015,60.81,50.368,0,none
B100188,M4,Day,4.1,222.03,42.24,118.91,63.45,163.5,13.43,90.12,5.55,8.68,22.21,0.1956,34.29,50.792,1,burn_mark
